iter	Passed	Remaining
644	2644	1455
645	2649	1451
646	2654	1448
647	2658	1444
648	2662	1439
649	2666	1435
650	2670	1431
651	2674	1427
652	2678	1423
653	2683	1419
654	2687	1415
655	2691	1411
656	2695	1407
657	2699	1403
658	2703	1399
659	2708	1395
660	2713	1391
661	2717	1387
662	2721	1383
663	2725	1379
664	2729	1375
665	2733	1370
666	2737	1366
667	2741	1362
668	2745	1358
669	2749	1354
670	2753	1350
671	2757	1345
672	2761	1341
673	2765	1337
674	2769	1333
675	2773	1329
676	2778	1325
677	2782	1321
678	2786	1317
679	2790	1313
680	2795	1309
681	2799	1305
682	2803	1301
683	2807	1297
684	2811	1292
685	2815	1288
686	2819	1284
687	2824	1280
688	2828	1276
689	2832	1272
690	2837	1268
691	2841	1264
692	2846	1260
693	2850	1256
694	2854	1252
695	2858	1248
696	2862	1244
697	2867	1240
698	2873	1237
699	2877	1233
700	2882	1229
701	2887	1225
702	2891	1221
703	2895	1217
704	2899	1213
705	2904	1209
706	2908	1205
707	2913	1201
708	2918	1197
709	2922	1193
710	2926	1189
711	2931	1185
712	2936	1181
713	2939	1177
714	2945	1173
715	2949	1170
716	2954	1166
717	2959	1162
718	2964	1158
719	2969	1154
720	2974	1151
721	2980	1147
722	2985	1143
723	2989	1139
724	2994	1135
725	2998	1131
726	3002	1127
727	3006	1123
728	3011	1119
729	3016	1115
730	3020	1111
731	3024	1107
732	3029	1103
733	3034	1099
734	3038	1095
735	3044	1092
736	3048	1087
737	3053	1083
738	3058	1080
739	3062	1076
740	3066	1071
741	3072	1068
742	3080	1065
743	3094	1064
744	3111	1064
745	3126	1064
746	3142	1064
747	3161	1065
748	3177	1064
749	3196	1065
750	3211	1064
751	3227	1064
752	3243	1064
753	3255	1062
754	3267	1060
755	3284	1060
756	3295	1057
757	3307	1056
758	3340	1060
759	3361	1061
760	3381	1062
761	3400	1062
762	3424	1063
763	3439	1062
764	3447	1058
765	3457	1056
766	3464	1052
